phone_number,email,credit_score,age_group,family_background,income,property_type,budget,preferred_location,comments,lead_intent
+91-8080621072,whitesandra@example.com,691,18-25,Single,1430170,Villa,1345949,Mumbai,Please send details,1
+91-3482141802,erik16@example.org,811,36-50,Single,1233159,Apartment,1181161,Ahmedabad,Call me ASAP,1
+91-7982597239,jamessellers@example.com,558,36-50,Single,989245,Commercial,1683654,Chennai,Just exploring,0
+91-977515194,kellerraymond@example.com,821,26-35,Married,1063566,Villa,2248419,Jaipur,Finalizing options this week,1
+91-3712367625,michael86@example.net,502,36-50,Married,1587977,Commercial,837193,Pune,Immediate possession preferred,1
+91-6597996327,wilsontara@example.org,318,26-35,Married with Kids,1882274,Apartment,2188089,Ahmedabad,Call me ASAP,1
+91-8519284858,rodriguezryan@example.net,692,26-35,Married with Kids,1559309,Plot,744840,Noida,Visit after 2 weeks,1
+91-7672650595,gobrien@example.org,614,26-35,Married,1849510,Commercial,2625544,Chennai,Just exploring,0
+91-2476426797,bradley60@example.net,654,36-50,Married,1937006,Apartment,1382251,Delhi,Interested in investment,1
+91-2880327491,ryan59@example.com,586,51+,Married with Kids,1107806,Villa,529499,Bangalore,Please send details,1
+91-9125196246,william65@example.com,531,18-25,Married with Kids,677117,Villa,1172338,Ahmedabad,Urgent visit required,1
+91-7289454630,jamesortega@example.com,605,18-25,Single,381254,Villa,1925222,Jaipur,Please send details,0
+91-3877520294,richard04@example.com,814,18-25,Single,1895470,Commercial,745143,Noida,Not now,1
+91-5197695041,steven73@example.net,617,18-25,Married,300361,Commercial,506288,Bangalore,Budget issue,0
+91-9318753573,campbellelizabeth@example.net,554,26-35,Single,936322,Villa,2691057,Noida,Just exploring,0
+91-1439622619,emilywalker@example.org,667,36-50,Married,737105,Commercial,2339237,Hyderabad,Call me ASAP,1
+91-632880459,sanchezthomas@example.org,761,36-50,Married with Kids,826246,Villa,1263295,Hyderabad,Finalizing options this week,1
+91-6250964836,jennifercruz@example.com,703,26-35,Married with Kids,387403,Plot,2810723,Chennai,Looking to move soon,1
+91-1047905204,staffordmichelle@example.org,788,18-25,Married,1323001,Villa,2176894,Delhi,Immediate possession preferred,1
+91-7638257497,gregoryrubio@example.net,592,36-50,Married with Kids,1143970,Apartment,793068,Noida,Visit after 2 weeks,1
+91-1995226582,samanthamartinez@example.org,758,18-25,Married,939211,Plot,845508,Surat,Please send details,1
+91-7737025391,stephanie79@example.net,664,51+,Single,1745432,Villa,1426758,Mumbai,Please send details,1
+91-9273512584,wcole@example.org,823,36-50,Single,483736,Apartment,2815432,Jaipur,Just exploring,0
+91-5322520473,sjones@example.org,608,36-50,Married,1717719,Apartment,2839513,Chennai,Call me ASAP,1
+91-5461974809,patricia12@example.org,430,51+,Married with Kids,1866543,Commercial,2772045,Pune,Looking to move soon,1
+91-5288227800,jasminebrown@example.com,582,26-35,Married,483487,Apartment,2825143,Chennai,Looking to move soon,0
+91-6296096954,clarkrobert@example.net,772,36-50,Married with Kids,351137,Villa,902222,Ahmedabad,Just exploring,0
+91-6767538527,wsmith@example.com,485,26-35,Married,680332,Plot,952744,Delhi,Urgent visit required,1
+91-7531118333,vmedina@example.net,350,36-50,Married with Kids,259346,Plot,1470311,Noida,Not now,0
+91-3856070374,brobinson@example.com,536,36-50,Single,725989,Apartment,1962728,Chennai,Visit after 2 weeks,0
+91-4419627962,elizabeth62@example.com,676,18-25,Married with Kids,1931614,Apartment,1376942,Pune,Just exploring,0
+91-3949401194,meadowsbrittany@example.net,475,36-50,Married,1768792,Commercial,1004465,Ahmedabad,Budget issue,0
+91-116402431,dtaylor@example.org,478,18-25,Married,1248625,Villa,927973,Mumbai,Urgent visit required,1
+91-4510938155,dmurphy@example.com,425,18-25,Single,1977679,Villa,2420636,Delhi,Not now,0
+91-8072992279,karen64@example.org,647,26-35,Married with Kids,368438,Apartment,1445881,Ahmedabad,Finalizing options this week,0
+91-2019952485,cookemichael@example.net,533,36-50,Married with Kids,1079333,Plot,2974897,Surat,Need loan info,0
+91-1062073697,howelljohn@example.com,413,26-35,Single,1106513,Apartment,1900851,Jaipur,Looking to move soon,1
+91-2875303857,stevenscott@example.com,509,36-50,Married,1682832,Villa,2330977,Chennai,Call me ASAP,1
+91-9310583479,stricklandfrank@example.com,754,51+,Married with Kids,1127036,Plot,2610276,Jaipur,Immediate possession preferred,1
+91-9054215189,hickmanbarbara@example.com,305,36-50,Single,1688618,Apartment,1524139,Pune,Interested in investment,1
+91-3070964768,vargasmaria@example.org,710,26-35,Married,1704101,Plot,2021400,Bangalore,Please send details,1
+91-9027597356,melissa91@example.net,699,18-25,Single,441836,Villa,1374266,Bangalore,Immediate possession preferred,0
+91-3361393222,amanda51@example.net,675,18-25,Married with Kids,1749150,Commercial,949836,Jaipur,Interested in investment,1
+91-7076144396,atkinsonlynn@example.org,686,26-35,Married,318570,Apartment,1828558,Bangalore,Visit after 2 weeks,0
+91-4952059278,jessicasheppard@example.com,547,18-25,Married with Kids,1378932,Villa,1256290,Jaipur,Call me ASAP,1
+91-7622026979,ugraham@example.net,503,18-25,Married,928416,Commercial,2608935,Bangalore,Call me ASAP,1
+91-5447717367,mariahmiller@example.com,649,26-35,Single,1761454,Commercial,522610,Surat,Visit after 2 weeks,1
+91-5922713963,snydermark@example.com,614,36-50,Single,867575,Apartment,2481575,Hyderabad,Visit after 2 weeks,0
+91-5206015111,matthew94@example.net,323,36-50,Single,1325948,Apartment,2196243,Chennai,Need loan info,0
+91-8633533290,christophercortez@example.com,765,26-35,Married with Kids,802935,Apartment,2673241,Noida,Just exploring,0
+91-9622118025,fbrewer@example.com,620,18-25,Married,1981715,Commercial,1005084,Jaipur,Just exploring,0
+91-3405620755,phillipsrichard@example.org,704,18-25,Married with Kids,342937,Commercial,741329,Delhi,Visit after 2 weeks,0
+91-9905079483,thomas85@example.com,535,51+,Married,1480531,Commercial,1347127,Delhi,Finalizing options this week,1
+91-6658867789,jacqueline44@example.com,317,36-50,Single,1549347,Apartment,1766642,Mumbai,Call me ASAP,1
+91-990153355,leslienewton@example.net,359,26-35,Single,1675695,Apartment,1717340,Delhi,Please send details,1
+91-795212538,joannahill@example.net,421,51+,Single,972970,Plot,2950432,Delhi,Urgent visit required,1
+91-5128695961,michaelturner@example.net,565,36-50,Married,1432746,Apartment,2309379,Surat,Call me ASAP,1
+91-2294092753,brandon08@example.com,714,36-50,Single,401243,Villa,1358643,Mumbai,Immediate possession preferred,1
+91-9132300866,agarcia@example.net,816,26-35,Single,1510650,Commercial,2256908,Jaipur,Need loan info,1
+91-5516195409,lalexander@example.org,481,18-25,Married,840248,Villa,1433669,Hyderabad,Just exploring,0
+91-7996039244,shortrichard@example.org,600,36-50,Married with Kids,1998854,Commercial,2195844,Jaipur,Visit after 2 weeks,1
+91-2948284698,edwardhart@example.com,681,26-35,Married,1015945,Plot,1855801,Pune,Interested in investment,0
+91-1065972034,yobrien@example.net,718,18-25,Single,305801,Apartment,2247064,Pune,Not now,0
+91-6539399243,tkerr@example.net,779,26-35,Single,376787,Plot,1171213,Ahmedabad,Not now,0
+91-8547119184,ashley09@example.net,818,36-50,Single,788222,Apartment,2012807,Chennai,Just exploring,0
+91-3275930923,josephmiller@example.org,353,26-35,Single,1775224,Plot,2282418,Bangalore,Interested in investment,1
+91-9336458105,moorericky@example.net,315,26-35,Single,925545,Plot,1588971,Delhi,Please send details,0
+91-6845366946,antonio44@example.net,451,18-25,Married with Kids,1995210,Villa,1608508,Jaipur,Call me ASAP,1
+91-7986950095,mcdanielsandra@example.net,303,36-50,Married,1637255,Villa,2475540,Chennai,Not now,0
+91-5144594354,stephensdeborah@example.com,605,36-50,Married,1738160,Plot,1128295,Chennai,Not now,0
+91-3550353803,brownlaura@example.net,593,26-35,Single,1333563,Villa,613900,Jaipur,Finalizing options this week,1
+91-5534540349,harrisonkevin@example.com,506,18-25,Married,369869,Villa,1652302,Delhi,Interested in investment,0
+91-8343730920,mkim@example.org,329,36-50,Single,1208545,Commercial,523144,Pune,Please send details,1
+91-8115009532,cassandra01@example.org,732,26-35,Married,1831839,Commercial,607602,Hyderabad,Need loan info,1
+91-4083595988,barbara27@example.net,424,18-25,Single,1457508,Apartment,836738,Chennai,Just exploring,0
+91-7093179263,howard96@example.net,553,18-25,Single,1765779,Villa,2489588,Ahmedabad,Immediate possession preferred,1
+91-7792122716,harrisonricky@example.com,669,36-50,Single,1273247,Commercial,1258420,Pune,Looking to move soon,1
+91-2878201524,marksteele@example.com,443,18-25,Single,560931,Commercial,1471316,Surat,Please send details,0
+91-4452580287,edwardsmarcus@example.com,654,26-35,Single,1597370,Apartment,2766406,Bangalore,Please send details,0
+91-8594878379,mgutierrez@example.net,538,18-25,Married,1350649,Commercial,1183747,Jaipur,Urgent visit required,1
+91-7543865915,nwolf@example.com,647,26-35,Married,470805,Commercial,2476162,Jaipur,Urgent visit required,0
+91-2358880404,samuel71@example.org,412,18-25,Single,694795,Villa,966775,Chennai,Need loan info,1
+91-9617709372,lancesmith@example.com,690,18-25,Single,813511,Commercial,1111746,Jaipur,Urgent visit required,1
+91-400330495,murraydavid@example.org,504,18-25,Married with Kids,655755,Plot,947489,Hyderabad,Interested in investment,1
+91-7372755146,robert77@example.org,595,18-25,Married,1993465,Commercial,1568297,Delhi,Call me ASAP,1
+91-4916199809,sandraromero@example.org,781,18-25,Married,1643964,Plot,1018117,Surat,Looking to move soon,1
+91-3710967433,kendra65@example.net,836,26-35,Married,1258877,Plot,1640844,Pune,Immediate possession preferred,1
+91-4305985001,mary97@example.org,302,26-35,Single,505105,Plot,813800,Surat,Finalizing options this week,0
+91-6375197714,andrea86@example.com,847,26-35,Single,417949,Apartment,1232310,Delhi,Budget issue,0
+91-8301537234,tinaallen@example.com,772,51+,Married with Kids,1027464,Plot,1106115,Ahmedabad,Not now,1
+91-7625905455,floresthomas@example.com,689,36-50,Married with Kids,691445,Villa,545267,Noida,Not now,0
+91-4212581851,ihanna@example.net,411,26-35,Married with Kids,1258585,Plot,1633764,Hyderabad,Just exploring,0
+91-7924383984,foxstephen@example.net,712,18-25,Married,1309509,Apartment,1064364,Jaipur,Visit after 2 weeks,1
+91-4914110094,charlesharrington@example.com,515,18-25,Married,1206559,Plot,2170874,Pune,Finalizing options this week,1
+91-7270110908,christianmelissa@example.net,811,26-35,Single,1925696,Commercial,749105,Bangalore,Not now,1
+91-9949983890,cbrennan@example.net,400,18-25,Single,266876,Villa,2606742,Pune,Not now,0
+91-293864877,wendy16@example.org,561,18-25,Married,1590549,Commercial,1182095,Hyderabad,Finalizing options this week,1
+91-4726642606,heatherberger@example.org,784,51+,Married,999036,Villa,1107818,Surat,Need loan info,1
+91-4535997538,nicholas23@example.net,442,18-25,Married with Kids,1464739,Apartment,666076,Bangalore,Call me ASAP,1
+91-773338452,christianpitts@example.net,700,26-35,Married,1445203,Plot,627420,Pune,Need loan info,1
+91-2934040683,jdurham@example.org,616,36-50,Single,1078069,Apartment,2708288,Ahmedabad,Please send details,0
+91-5385791669,elizabeth74@example.net,508,26-35,Married,355232,Villa,1974636,Pune,Interested in investment,0
+91-2347621138,alexandermichael@example.net,844,51+,Married,1275087,Apartment,917982,Mumbai,Visit after 2 weeks,1
+91-9874792298,dvaughn@example.com,450,26-35,Married,1133358,Apartment,2549812,Bangalore,Please send details,0
+91-2075362821,patrickhoward@example.com,556,26-35,Single,1903223,Commercial,2557004,Bangalore,Immediate possession preferred,1
+91-1268006448,khill@example.net,581,36-50,Married with Kids,1018436,Plot,2871745,Delhi,Urgent visit required,1
+91-4181592277,swall@example.org,493,18-25,Single,919141,Apartment,1860549,Ahmedabad,Interested in investment,0
+91-1513206988,christinebyrd@example.net,681,36-50,Married,1866800,Commercial,600109,Ahmedabad,Immediate possession preferred,1
+91-9177396934,bergerdebbie@example.com,335,26-35,Single,1716378,Plot,854723,Jaipur,Not now,0
+91-7682023540,rileyjessica@example.org,397,36-50,Single,506323,Apartment,651195,Surat,Just exploring,0
+91-8201789018,julie23@example.org,655,51+,Single,1051974,Plot,1175246,Ahmedabad,Just exploring,0
+91-5001680218,scoffey@example.net,514,26-35,Married with Kids,1198208,Plot,825834,Chennai,Call me ASAP,1
+91-8033293776,mcdonaldcharles@example.org,410,18-25,Married,1833233,Plot,2979774,Hyderabad,Immediate possession preferred,1
+91-8503787171,christopher60@example.com,838,26-35,Married,1103240,Commercial,1853438,Jaipur,Need loan info,1
+91-2304560537,vrichardson@example.net,671,36-50,Single,1118530,Villa,1674056,Noida,Interested in investment,1
+91-9715909279,xcarson@example.org,366,18-25,Single,780254,Plot,685841,Noida,Need loan info,1
+91-2898400928,jjohnson@example.com,369,26-35,Married with Kids,1250677,Plot,852286,Jaipur,Immediate possession preferred,1
+91-9540699468,reidsteven@example.net,805,26-35,Single,1049077,Apartment,2617913,Ahmedabad,Urgent visit required,1
+91-9887831495,cwilson@example.org,343,36-50,Married,647001,Villa,2664323,Jaipur,Visit after 2 weeks,0
+91-2115806625,youngamanda@example.com,379,26-35,Married,763350,Villa,1359632,Jaipur,Looking to move soon,1
+91-6243352390,umatthews@example.org,436,26-35,Married with Kids,736786,Apartment,662398,Surat,Visit after 2 weeks,1
+91-8097790557,basschristina@example.com,827,36-50,Married with Kids,1552869,Commercial,2227721,Delhi,Looking to move soon,1
+91-8730449971,jeff73@example.com,420,26-35,Married with Kids,834759,Villa,1727109,Hyderabad,Just exploring,0
+91-7239941612,bruce43@example.org,344,26-35,Single,1417566,Commercial,2712008,Hyderabad,Not now,0
+91-7834841054,batesdarlene@example.net,530,26-35,Single,514174,Villa,1689130,Ahmedabad,Immediate possession preferred,0
+91-4170814022,buchananjohn@example.org,791,26-35,Single,961809,Plot,2171225,Chennai,Not now,0
+91-881351238,brendali@example.org,343,26-35,Married,1262030,Villa,724115,Pune,Call me ASAP,1
+91-4307145891,vanessafernandez@example.org,735,26-35,Single,286099,Commercial,1298658,Mumbai,Interested in investment,0
+91-9062064654,andersonmichael@example.org,566,18-25,Married,845889,Plot,1910679,Chennai,Immediate possession preferred,1
+91-6824071339,thompsonbrian@example.net,664,26-35,Married,1224123,Apartment,1242681,Delhi,Immediate possession preferred,1
+91-9078054633,alvarezkimberly@example.net,319,26-35,Single,1713293,Commercial,1580169,Pune,Please send details,1
+91-2549776132,ngordon@example.org,814,26-35,Married,1976656,Villa,1141431,Jaipur,Interested in investment,1
+91-5590459705,browntimothy@example.com,710,18-25,Single,1132810,Plot,1690933,Chennai,Just exploring,1
+91-4758659815,fjones@example.com,758,51+,Married,1343807,Apartment,2198783,Noida,Not now,0
+91-2612617557,martinezclaudia@example.net,450,26-35,Single,544622,Apartment,1522974,Jaipur,Please send details,0
+91-5691628146,shawn96@example.org,441,51+,Single,1858202,Apartment,1924612,Noida,Interested in investment,1
+91-3717261214,ohayes@example.com,561,26-35,Married with Kids,694853,Commercial,2348313,Jaipur,Call me ASAP,1
+91-6242730249,ublair@example.com,741,26-35,Married,1319460,Plot,2377173,Noida,Urgent visit required,1
+91-9932213115,nicholas27@example.org,638,26-35,Married,462003,Commercial,2299135,Hyderabad,Looking to move soon,0
+91-366637148,vdavis@example.com,530,26-35,Single,442348,Commercial,685205,Surat,Please send details,0
+91-3486522557,willisanna@example.com,686,18-25,Married with Kids,1445003,Villa,769081,Surat,Budget issue,0
+91-2877685081,qgomez@example.com,834,26-35,Married with Kids,316749,Apartment,2049670,Delhi,Not now,0
+91-3096932037,caroline51@example.net,725,18-25,Single,355587,Plot,1458134,Delhi,Call me ASAP,1
+91-2179320310,dianewalker@example.org,442,36-50,Married,250877,Villa,1686916,Surat,Budget issue,0
+91-6684109313,farmeraudrey@example.com,838,36-50,Single,1761216,Plot,547551,Bangalore,Urgent visit required,1
+91-8702693937,anthony44@example.com,728,26-35,Single,1091149,Villa,1568983,Hyderabad,Need loan info,1
+91-1507634128,mollyknight@example.com,842,18-25,Single,1827307,Villa,1879280,Mumbai,Finalizing options this week,1
+91-298867122,davisalyssa@example.com,624,36-50,Single,1717735,Villa,2373961,Surat,Immediate possession preferred,1
+91-6098134112,eric45@example.net,610,51+,Married with Kids,408671,Commercial,778911,Hyderabad,Budget issue,0
+91-2560761628,moorekaren@example.org,375,26-35,Married,1488926,Villa,2485271,Delhi,Interested in investment,0
+91-2894673596,scott67@example.net,315,51+,Single,1396904,Commercial,1658967,Pune,Visit after 2 weeks,1
+91-6193532615,jason81@example.com,530,51+,Single,394411,Plot,2487653,Mumbai,Finalizing options this week,0
+91-1846465000,erika97@example.net,470,36-50,Married with Kids,617463,Commercial,1890331,Ahmedabad,Finalizing options this week,1
+91-7160279830,walkertracey@example.org,665,26-35,Married with Kids,1466608,Apartment,2130459,Mumbai,Call me ASAP,1
+91-33015788,sierra24@example.com,481,51+,Single,1596899,Commercial,1512667,Surat,Just exploring,0
+91-1409274786,jimenezryan@example.org,751,26-35,Single,1548999,Apartment,2108163,Mumbai,Please send details,1
+91-3022245086,charles06@example.org,406,26-35,Married with Kids,282427,Villa,2520519,Ahmedabad,Just exploring,0
+91-9934519750,tberry@example.net,789,18-25,Single,640400,Commercial,1856823,Noida,Urgent visit required,1
+91-6088949191,sullivantammy@example.org,829,26-35,Single,253315,Villa,759249,Pune,Urgent visit required,1
+91-6949795085,christopher13@example.com,592,36-50,Married with Kids,1280598,Villa,2980043,Hyderabad,Just exploring,0
+91-6824150224,fosterkyle@example.com,661,18-25,Single,1948414,Apartment,2099567,Delhi,Call me ASAP,1
+91-5246612046,charlesschultz@example.net,463,18-25,Single,1078904,Plot,1100380,Jaipur,Looking to move soon,1
+91-2190227431,michael23@example.org,507,26-35,Married with Kids,1593950,Commercial,2781090,Delhi,Please send details,0
+91-4923940434,glennhernandez@example.net,592,51+,Single,313143,Plot,2257842,Surat,Budget issue,0
+91-323639855,kmarshall@example.net,676,18-25,Single,1809173,Villa,1506087,Noida,Call me ASAP,1
+91-6977267911,edward17@example.com,568,36-50,Married with Kids,1521826,Commercial,2044404,Jaipur,Finalizing options this week,1
+91-7006745733,brittany58@example.org,654,36-50,Married with Kids,378610,Villa,1644244,Pune,Interested in investment,0
+91-5628158856,xjohnson@example.com,619,18-25,Married,1567929,Commercial,1240286,Hyderabad,Looking to move soon,1
+91-8919491730,gilbertwilliam@example.com,725,18-25,Married,955162,Commercial,2568178,Bangalore,Just exploring,0
+91-4471158508,marcalvarez@example.org,564,36-50,Married with Kids,282395,Apartment,2570475,Surat,Just exploring,0
+91-4113386226,vgarcia@example.net,514,36-50,Married with Kids,1591739,Plot,2579434,Ahmedabad,Call me ASAP,1
+91-8952125442,benjaminzimmerman@example.com,741,26-35,Married with Kids,1437968,Villa,1850158,Bangalore,Need loan info,1
+91-2619094295,nathan46@example.com,732,26-35,Married,1252408,Plot,944805,Surat,Please send details,1
+91-7621268224,mccormickdeborah@example.org,843,51+,Married with Kids,1568274,Villa,1198971,Surat,Immediate possession preferred,1
+91-1416011033,umitchell@example.net,431,26-35,Married,1411737,Plot,2512421,Hyderabad,Urgent visit required,1
+91-4940815822,aguilardonald@example.com,457,18-25,Single,1904575,Villa,1283438,Noida,Budget issue,0
+91-7138816152,brookehurley@example.com,385,26-35,Married,791555,Commercial,1750583,Bangalore,Budget issue,0
+91-6695519305,lisa81@example.net,454,26-35,Married,940653,Commercial,2409027,Hyderabad,Not now,0
+91-7174554059,andrew42@example.org,747,18-25,Married with Kids,1598096,Apartment,1981296,Bangalore,Need loan info,1
+91-7585583166,jeremytaylor@example.org,372,26-35,Married,869237,Apartment,1108373,Bangalore,Budget issue,0
+91-3384950377,stanleynancy@example.net,320,26-35,Single,1466798,Plot,2125425,Chennai,Finalizing options this week,1
+91-9152785948,lmoore@example.net,538,36-50,Married with Kids,1408351,Villa,530974,Delhi,Looking to move soon,1
+91-9300919890,xwilliams@example.net,567,36-50,Single,300353,Apartment,2292620,Chennai,Urgent visit required,0
+91-3090596936,wbishop@example.net,551,51+,Married,955963,Plot,1521398,Mumbai,Visit after 2 weeks,0
+91-7661364201,amandacollins@example.com,486,26-35,Married,435227,Commercial,2154678,Delhi,Not now,0
+91-5128260438,smurray@example.com,425,51+,Single,1540960,Villa,1095764,Surat,Urgent visit required,1
+91-2597009738,brett75@example.net,742,36-50,Married with Kids,1853170,Villa,1506485,Pune,Interested in investment,1
+91-4012760260,mitchellkathryn@example.com,800,26-35,Single,761304,Commercial,2532449,Surat,Call me ASAP,1
+91-2204833223,odavis@example.com,553,18-25,Married with Kids,521665,Commercial,1224885,Ahmedabad,Urgent visit required,0
+91-8094423237,perryrandy@example.com,634,18-25,Married with Kids,1916545,Apartment,2612214,Jaipur,Finalizing options this week,1
+91-5307626407,brooksanthony@example.org,431,26-35,Single,1284573,Villa,869058,Ahmedabad,Please send details,1
+91-7086527181,devinmitchell@example.com,776,18-25,Married with Kids,1963139,Apartment,1602841,Hyderabad,Finalizing options this week,1
+91-7325222092,fgilbert@example.org,595,26-35,Single,1239001,Villa,2479936,Noida,Need loan info,0
+91-1099184899,anaacosta@example.net,722,36-50,Married with Kids,1601745,Commercial,2299463,Mumbai,Finalizing options this week,1
